Iteration,Pattern,Transport,MsgSize,Metric,Value
8,DEALER_ROUTER,tcp,64,latency,29.08
9,DEALER_ROUTER,tcp,64,throughput,4694306.74
9,DEALER_ROUTER,tcp,64,latency,32.19
10,DEALER_ROUTER,tcp,64,throughput,3989595.14
10,DEALER_ROUTER,tcp,64,latency,41.16
1,ROUTER_ROUTER,tcp,64,throughput,4704365.89
1,ROUTER_ROUTER,tcp,64,latency,18.94
2,ROUTER_ROUTER,tcp,64,throughput,4490224.78
2,ROUTER_ROUTER,tcp,64,latency,19.27
3,ROUTER_ROUTER,tcp,64,throughput,4572410.99
3,ROUTER_ROUTER,tcp,64,latency,20.62
4,ROUTER_ROUTER,tcp,64,throughput,4420768.77
4,ROUTER_ROUTER,tcp,64,latency,21.27
5,ROUTER_ROUTER,tcp,64,throughput,4667684.22
5,ROUTER_ROUTER,tcp,64,latency,19.02
6,ROUTER_ROUTER,tcp,64,throughput,4690607.53
6,ROUTER_ROUTER,tcp,64,latency,20.40
7,ROUTER_ROUTER,tcp,64,throughput,3901266.74
7,ROUTER_ROUTER,tcp,64,latency,25.98
8,ROUTER_ROUTER,tcp,64,throughput,4563969.74
8,ROUTER_ROUTER,tcp,64,latency,20.87
9,ROUTER_ROUTER,tcp,64,throughput,4545206.63
9,ROUTER_ROUTER,tcp,64,latency,17.82
10,ROUTER_ROUTER,tcp,64,throughput,4612812.09
10,ROUTER_ROUTER,tcp,64,latency,19.95
