Iteration,Library,Pattern,Transport,MsgSize,Metric,Value
7,zlink,PUBSUB,tcp,64,throughput,68036.85
7,zlink,PUBSUB,tcp,64,latency,14.70
7,libzmq,PUBSUB,tcp,64,throughput,68856.76
7,libzmq,PUBSUB,tcp,64,latency,14.52
8,zlink,PUBSUB,tcp,64,throughput,68577.66
8,zlink,PUBSUB,tcp,64,latency,14.58
8,libzmq,PUBSUB,tcp,64,throughput,68028.96
8,libzmq,PUBSUB,tcp,64,latency,14.70
9,zlink,PUBSUB,tcp,64,throughput,68373.79
9,zlink,PUBSUB,tcp,64,latency,14.63
9,libzmq,PUBSUB,tcp,64,throughput,68582.82
9,libzmq,PUBSUB,tcp,64,latency,14.58
10,zlink,PUBSUB,tcp,64,throughput,68137.82
10,zlink,PUBSUB,tcp,64,latency,14.68
10,libzmq,PUBSUB,tcp,64,throughput,68225.97
10,libzmq,PUBSUB,tcp,64,latency,14.66
1,zlink,PUBSUB,tcp,1024,throughput,67680.79
1,zlink,PUBSUB,tcp,1024,latency,14.78
1,libzmq,PUBSUB,tcp,1024,throughput,66920.72
1,libzmq,PUBSUB,tcp,1024,latency,14.94
2,zlink,PUBSUB,tcp,1024,throughput,67572.58
2,zlink,PUBSUB,tcp,1024,latency,14.80
2,libzmq,PUBSUB,tcp,1024,throughput,67347.23
2,libzmq,PUBSUB,tcp,1024,latency,14.85
3,zlink,PUBSUB,tcp,1024,throughput,67272.43
3,zlink,PUBSUB,tcp,1024,latency,14.86
3,libzmq,PUBSUB,tcp,1024,throughput,67834.52
3,libzmq,PUBSUB,tcp,1024,latency,14.74
4,zlink,PUBSUB,tcp,1024,throughput,66796.14
4,zlink,PUBSUB,tcp,1024,latency,14.97
4,libzmq,PUBSUB,tcp,1024,throughput,67139.91
4,libzmq,PUBSUB,tcp,1024,latency,14.89
5,zlink,PUBSUB,tcp,1024,throughput,66871.25
5,zlink,PUBSUB,tcp,1024,latency,14.95
5,libzmq,PUBSUB,tcp,1024,throughput,67350.35
5,libzmq,PUBSUB,tcp,1024,latency,14.85
6,zlink,PUBSUB,tcp,1024,throughput,66847.47
6,zlink,PUBSUB,tcp,1024,latency,14.96
6,libzmq,PUBSUB,tcp,1024,throughput,67589.45
6,libzmq,PUBSUB,tcp,1024,latency,14.80
7,zlink,PUBSUB,tcp,1024,throughput,67309.23
7,zlink,PUBSUB,tcp,1024,latency,14.86
7,libzmq,PUBSUB,tcp,1024,throughput,67031.81
7,libzmq,PUBSUB,tcp,1024,latency,14.92
8,zlink,PUBSUB,tcp,1024,throughput,67748.72
8,zlink,PUBSUB,tcp,1024,latency,14.76
8,libzmq,PUBSUB,tcp,1024,throughput,66804.76
8,libzmq,PUBSUB,tcp,1024,latency,14.97
9,zlink,PUBSUB,tcp,1024,throughput,67112.52
9,zlink,PUBSUB,tcp,1024,latency,14.90
9,libzmq,PUBSUB,tcp,1024,throughput,67416.52
9,libzmq,PUBSUB,tcp,1024,latency,14.83
10,zlink,PUBSUB,tcp,1024,throughput,67582.16
10,zlink,PUBSUB,tcp,1024,latency,14.80
10,libzmq,PUBSUB,tcp,1024,throughput,68070.96
10,libzmq,PUBSUB,tcp,1024,latency,14.69
1,zlink,DEALER_DEALER,tcp,64,throughput,1924590.69
1,zlink,DEALER_DEALER,tcp,64,latency,11.51
1,libzmq,DEALER_DEALER,tcp,64,throughput,3790736.20
1,libzmq,DEALER_DEALER,tcp,64,latency,13.42
2,zlink,DEALER_DEALER,tcp,64,throughput,2129843.80
2,zlink,DEALER_DEALER,tcp,64,latency,11.00
2,libzmq,DEALER_DEALER,tcp,64,throughput,3748933.90
2,libzmq,DEALER_DEALER,tcp,64,latency,12.39
3,zlink,DEALER_DEALER,tcp,64,throughput,2126173.51
3,zlink,DEALER_DEALER,tcp,64,latency,10.86
3,libzmq,DEALER_DEALER,tcp,64,throughput,2254321.25
3,libzmq,DEALER_DEALER,tcp,64,latency,10.95
4,zlink,DEALER_DEALER,tcp,64,throughput,3359927.16
4,zlink,DEALER_DEALER,tcp,64,latency,12.34
4,libzmq,DEALER_DEALER,tcp,64,throughput,2075013.82
4,libzmq,DEALER_DEALER,tcp,64,latency,10.98
5,zlink,DEALER_DEALER,tcp,64,throughput,3336503.01
5,zlink,DEALER_DEALER,tcp,64,latency,13.90
5,libzmq,DEALER_DEALER,tcp,64,throughput,2045094.33
5,libzmq,DEALER_DEALER,tcp,64,latency,11.51
6,zlink,DEALER_DEALER,tcp,64,throughput,1937393.14
6,zlink,DEALER_DEALER,tcp,64,latency,10.96
6,libzmq,DEALER_DEALER,tcp,64,throughput,3702757.44
6,libzmq,DEALER_DEALER,tcp,64,latency,12.38
7,zlink,DEALER_DEALER,tcp,64,throughput,1931842.66
7,zlink,DEALER_DEALER,tcp,64,latency,10.96
7,libzmq,DEALER_DEALER,tcp,64,throughput,2077117.13
7,libzmq,DEALER_DEALER,tcp,64,latency,10.83
8,zlink,DEALER_DEALER,tcp,64,throughput,2123448.82
8,zlink,DEALER_DEALER,tcp,64,latency,10.92
8,libzmq,DEALER_DEALER,tcp,64,throughput,2038183.33
8,libzmq,DEALER_DEALER,tcp,64,latency,11.52
9,zlink,DEALER_DEALER,tcp,64,throughput,1957301.47
9,zlink,DEALER_DEALER,tcp,64,latency,11.05
9,libzmq,DEALER_DEALER,tcp,64,throughput,3806319.25
9,libzmq,DEALER_DEALER,tcp,64,latency,12.34
10,zlink,DEALER_DEALER,tcp,64,throughput,2156478.38
10,zlink,DEALER_DEALER,tcp,64,latency,10.94
10,libzmq,DEALER_DEALER,tcp,64,throughput,2057484.05
10,libzmq,DEALER_DEALER,tcp,64,latency,11.00
1,zlink,DEALER_ROUTER,tcp,64,throughput,852510.56
1,zlink,DEALER_ROUTER,tcp,64,latency,11.04
1,libzmq,DEALER_ROUTER,tcp,64,throughput,877960.04
1,libzmq,DEALER_ROUTER,tcp,64,latency,10.81
2,zlink,DEALER_ROUTER,tcp,64,throughput,823300.05
2,zlink,DEALER_ROUTER,tcp,64,latency,11.70
2,libzmq,DEALER_ROUTER,tcp,64,throughput,862735.35
2,libzmq,DEALER_ROUTER,tcp,64,latency,10.96
3,zlink,DEALER_ROUTER,tcp,64,throughput,853287.46
3,zlink,DEALER_ROUTER,tcp,64,latency,10.99
3,libzmq,DEALER_ROUTER,tcp,64,throughput,860145.50
3,libzmq,DEALER_ROUTER,tcp,64,latency,11.13
4,zlink,DEALER_ROUTER,tcp,64,throughput,832958.50
4,zlink,DEALER_ROUTER,tcp,64,latency,10.96
4,libzmq,DEALER_ROUTER,tcp,64,throughput,882184.29
4,libzmq,DEALER_ROUTER,tcp,64,latency,10.91
5,zlink,DEALER_ROUTER,tcp,64,throughput,857610.87
5,zlink,DEALER_ROUTER,tcp,64,latency,10.97
5,libzmq,DEALER_ROUTER,tcp,64,throughput,878465.99
5,libzmq,DEALER_ROUTER,tcp,64,latency,10.89
6,zlink,DEALER_ROUTER,tcp,64,throughput,855628.15
6,zlink,DEALER_ROUTER,tcp,64,latency,10.97
6,libzmq,DEALER_ROUTER,tcp,64,throughput,873246.52
6,libzmq,DEALER_ROUTER,tcp,64,latency,11.14
7,zlink,DEALER_ROUTER,tcp,64,throughput,841519.92
7,zlink,DEALER_ROUTER,tcp,64,latency,10.87
7,libzmq,DEALER_ROUTER,tcp,64,throughput,873837.14
7,libzmq,DEALER_ROUTER,tcp,64,latency,10.87
8,zlink,DEALER_ROUTER,tcp,64,throughput,858671.29
8,zlink,DEALER_ROUTER,tcp,64,latency,10.99
8,libzmq,DEALER_ROUTER,tcp,64,throughput,868827.85
8,libzmq,DEALER_ROUTER,tcp,64,latency,10.87
9,zlink,DEALER_ROUTER,tcp,64,throughput,799834.91
9,zlink,DEALER_ROUTER,tcp,64,latency,10.98
9,libzmq,DEALER_ROUTER,tcp,64,throughput,882543.99
9,libzmq,DEALER_ROUTER,tcp,64,latency,10.93
10,zlink,DEALER_ROUTER,tcp,64,throughput,826923.30
10,zlink,DEALER_ROUTER,tcp,64,latency,10.89
